Pilote,GP,Saison,Réalité,Prédiction
Oscar PIASTRI,Mexico City,2023,18.035083643122675,18.266060709187922
Felipe MASSA,Chine,2017,17.154100165107323,17.365626830651475
Alexander ROSSI,Singapour,2015,22.575506072874493,22.13553069785942
Stoffel VANDOORNE,Canada,2017,17.01031873423527,16.86871355353023
Nico HULKENBERG,Italie,2016,14.299326773692387,14.358424717990305
Charles LECLERC,Australie,2024,14.481811292156118,14.569459118418683
Carlos SAINZ,Espagne,2019,16.662873094266697,16.683555444901685
Antonio GIOVINAZZI,Grande-Bretagne,2021,14.87302665082329,14.923760459237103
Esteban OCON,Émilie-Romagne,2024,15.46261967814219,15.472642359970363
Daniil KVYAT,Italie,2020,13.838943552563437,13.942187234460132
George RUSSELL,Hongrie,2019,17.582971924218217,17.754530679497588
Guanyu ZHOU,Bahreïn,2024,16.76958610495196,16.814241322043227
Carlos SAINZ,Belgique,2024,16.344517418617933,16.32187038571341
Kevin MAGNUSSEN,Japon,2019,15.52551108057035,15.288314665205336
Lewis HAMILTON,Malaisie,2017,16.25040591737326,16.296279027170183
Nico HULKENBERG,Monaco,2018,21.699430626311056,21.594037842850774
Max VERSTAPPEN,Hongrie,2023,17.487331659438482,17.517990104152123
Lewis HAMILTON,Hongrie,2023,17.486646884272997,17.647178581099915
Esteban OCON,Monaco,2024,21.362001798022174,21.284390869529783
Lance STROLL,Monaco,2022,22.079112975726698,21.901767513737582
Valtteri BOTTAS,Japon,2019,14.996220580656246,15.030250710949048
Logan SARGEANT,Autriche,2024,15.251505326540064,15.224974576024579
Marcus ERICSSON,Italie,2017,17.561194545140687,17.40547231915295
Fernando ALONSO,France,2022,15.791161917761473,15.842362134578508
Valtteri BOTTAS,Qatar,2021,15.144609665427511,15.047539157310851
Daniel RICCIARDO,São Paulo,2023,16.440705500116035,16.564843414102164
Valtteri BOTTAS,Italie,2020,13.629552908682893,13.594076233973949
Lando NORRIS,Brésil,2019,15.982362497099093,15.994815287246562
Nico HULKENBERG,Canada,2019,16.35496445769319,16.545449301447235
George RUSSELL,Etats-Unis,2022,17.229820424451297,17.26760569355147
Sergio PEREZ,France,2022,15.58351817096059,15.694918896204054
Sebastian VETTEL,Espagne,2022,17.383293966072582,17.2298882164752
Romain GROSJEAN,Monaco,2015,23.076715612825893,23.089707638635964
Pierre GASLY,Qatar,2023,15.716171003717472,15.778635087210949
George RUSSELL,São Paulo,2021,16.234161058250173,16.271767553507004
Nico ROSBERG,Bahreïn,2015,17.207871396895786,17.058609043459853
Carlos SAINZ,Brésil,2018,16.07542353214203,16.047380676421614
George RUSSELL,Australie,2023,14.582796513830996,14.594079498382992
Carlos SAINZ,Azerbaïdjan,2019,17.057804431117773,17.05900443928702
Fernando ALONSO,Espagne,2015,18.844749838952115,18.743822368131987
Felipe NASR,Abou Dhabi,2016,19.361295209240676,19.471725945400852
Sergio PEREZ,Malaisie,2015,18.666606530759516,19.831137645538195
Kimi RAIKKONEN,Etats-Unis,2019,17.117540359151096,17.079368860257564
Lando NORRIS,Grande-Bretagne,2019,14.63656425055169,14.73259964598585
Oscar PIASTRI,Miami,2023,16.355637707948244,16.273323035718104
Fernando ALONSO,Etats-Unis,2015,21.814801378559768,21.122038693621935
Lewis HAMILTON,Grande-Bretagne,2018,14.580207095569513,14.599220558736866
Lando NORRIS,Russie,2020,15.876709986320112,15.970491673677193
Nicholas LATIFI,Autriche,2021,15.098425196850393,15.162368201572828
Alexander ALBON,Bahreïn,2020,16.31079083518108,16.364954073766906
Will STEVENS,Japon,2015,16.970108228826664,17.57960893203678
Kevin MAGNUSSEN,Grande-Bretagne,2017,17.412493634357496,15.22423659912108
Daniil KVYAT,Abou Dhabi,2020,18.171369058890363,18.325326930736896
Romain GROSJEAN,Japon,2018,15.420202714310255,15.802050913414924
Marcus ERICSSON,Allemagne,2016,16.886313948404023,16.650741058777783
Kimi RAIKKONEN,São Paulo,2021,16.12972847528429,16.315012532030657
Sebastian VETTEL,Monaco,2021,21.402157626610727,21.435019833477636
Lance STROLL,Portugal,2021,17.174511068128087,17.032267538122365
Lewis HAMILTON,Hongrie,2024,17.314311800958684,17.666351498403326
Carlos SAINZ,Espagne,2017,17.47283659007945,17.385004590573683
Daniel RICCIARDO,Autriche,2022,15.426817971283002,15.962650606212135
Daniel RICCIARDO,Russie,2016,16.608242134062927,16.59486373780365
Charles LECLERC,Australie,2022,14.753315649867371,14.940256361546112
Fernando ALONSO,Autriche,2018,15.066697545159796,15.225487680952915
Kevin MAGNUSSEN,Chine,2016,18.10181618051734,18.159488983988034
Lewis HAMILTON,São Paulo,2023,16.58598282664191,16.43723601744787
Sergio PEREZ,Abou Dhabi,2017,18.627911380420375,18.577896080965417
Mick SCHUMACHER,Émilie-Romagne,2021,15.538602566714198,15.59955499428583
Valtteri BOTTAS,Etats-Unis,2022,17.289860330128786,17.392422123483737
Max VERSTAPPEN,Mexique,2017,17.79135687732342,17.81399992976276
Sebastian VETTEL,Singapour,2019,19.521659919028338,19.57773656957122
Pierre GASLY,Hongrie,2024,17.84204519516092,17.929809166012305
Felipe NASR,Bahreïn,2015,17.504988913525498,17.53421730066474
Carlos SAINZ,Portugal,2021,16.986675263271007,16.989959556387685
Daniil KVYAT,Europe,2016,17.444111277694486,17.53574841603561
Lance STROLL,Grande-Bretagne,2021,14.88117467323035,14.834148937175415
Nico HULKENBERG,Etats-Unis,2024,16.967894068565208,17.076246393706718
Romain GROSJEAN,Grande-Bretagne,2020,14.877440162960449,14.771113358308828
Lando NORRIS,Autriche,2023,14.974062065771191,15.423215934139709
Valtteri BOTTAS,France,2021,15.419894216004096,15.350581551825574
Charles LECLERC,São Paulo,2021,16.003713158505455,15.916262629712191
Lewis HAMILTON,Australie,2019,15.249336870026525,15.29679169038153
Nicholas LATIFI,Belgique,2021,16.855511136493433,17.531823739152
Sebastian VETTEL,Autriche,2020,14.869383974062067,14.790131872527802
Kimi RAIKKONEN,70e Anniversaire,2020,15.021728059752164,14.818078194881613
Esteban OCON,Belgique,2016,15.56967447173044,15.615449757239208
Pastor MALDONADO,Chine,2015,18.00293524124014,18.058608414676392
Antonio GIOVINAZZI,Mexico City,2021,18.19005576208178,18.200617332222553
Fernando ALONSO,Australie,2022,15.046987495263357,15.087001439548771
Sergio PEREZ,Malaisie,2017,16.53581093270792,16.528864921745946
Charles LECLERC,Monaco,2024,21.057836379982017,21.143643446257883
Jenson BUTTON,Chine,2015,18.212438084755092,18.192448541586028
Sergio PEREZ,Hongrie,2016,19.496918511755304,19.213704981082298
Lando NORRIS,Belgique,2024,16.273700742432897,16.22792740965289
Lance STROLL,São Paulo,2022,16.757948479925737,17.08937972038696
Daniel RICCIARDO,Grande-Bretagne,2017,17.47852656594806,14.979447478671453
Brendon HARTLEY,Bahreïn,2018,16.64911308203991,16.706888093735763
Sergio PEREZ,Singapour,2023,18.686234817813766,18.55347831096611
Lance STROLL,Etats-Unis,2022,17.340467984763286,17.46637522953332
Guanyu ZHOU,Mexico City,2023,18.134293680297397,18.288655942223283
Nico HULKENBERG,Singapour,2019,19.891497975708504,19.913271249165053
Romain GROSJEAN,Abou Dhabi,2018,18.21473205832229,18.47063761110855
Lewis HAMILTON,Singapour,2016,20.908502024291497,21.016464335423514
Sebastian VETTEL,Canada,2018,16.22655354276542,16.373359027788307
Fernando ALONSO,Azerbaïdjan,2022,17.186906546726636,17.189175978248777
Max VERSTAPPEN,Canada,2024,16.509974776427427,16.582480913262962
Sebastian VETTEL,Bahreïn,2019,16.289726533628972,16.38520868191332
Marcus ERICSSON,Singapour,2016,21.82732793522267,21.65967620497247
Kevin MAGNUSSEN,Sakhir,2020,10.108093126385809,10.165873631654108
Lando NORRIS,Hongrie,2020,17.111618351974432,17.213011158980347
Sergio PEREZ,Grande-Bretagne,2019,14.756068579188593,14.867262640775476
Sebastian VETTEL,Abou Dhabi,2016,18.87161522438932,19.2821655806046
Pastor MALDONADO,Malaisie,2015,18.43730831679596,20.77954106825157
Marcus ERICSSON,Brésil,2018,15.849617080529123,16.12142152747405
Daniel RICCIARDO,Singapour,2016,20.87348178137652,21.035023993442245
Fernando ALONSO,Etats-Unis,2016,17.670415381824778,17.68222609103784
Daniel RICCIARDO,Russie,2015,17.053351573187417,16.83826638423872
Sergio PEREZ,Azerbaïdjan,2017,17.009995002498748,17.151494991025242
Lewis HAMILTON,France,2021,15.398054939430132,15.364761570842196
Nikita MAZEPIN,Abou Dhabi,2021,16.225146752508994,16.173534718514087
Romain GROSJEAN,Eifel,2020,17.006993006993007,16.890076780870196
Carlos SAINZ,Hongrie,2015,19.14380278475234,19.23880771645109
Sergio PEREZ,Etats-Unis,2022,17.167603845456195,17.147922422644577
Valtteri BOTTAS,Japon,2018,15.127813090534273,15.490098214973669
Fernando ALONSO,Australie,2018,15.856763925729442,15.825525960839625
Kevin MAGNUSSEN,Autriche,2020,15.091245947197779,14.939081445452167
Carlos SAINZ,Australie,2015,16.76960970064418,16.815127821568755
Sergio PEREZ,Autriche,2021,14.819360815192221,17.28721001525036
Antonio GIOVINAZZI,Styrie,2020,18.951134784622514,18.63311106092828
Lance STROLL,Miami,2023,16.35415896487985,16.30572797476216
Daniel RICCIARDO,Singapour,2022,23.527530364372467,22.967091710829255
Lando NORRIS,Grande-Bretagne,2024,14.603632659989815,14.683089190072435
Sebastian VETTEL,Abou Dhabi,2022,16.088051505396706,16.19360071762947
Felipe MASSA,Autriche,2016,16.66905974988421,16.03768005120372
Pierre GASLY,Abou Dhabi,2020,18.224199962128385,18.324802286725678
Charles LECLERC,Mexico City,2022,18.251626394052046,18.06984261374981
George RUSSELL,Etats-Unis,2023,17.24632686377653,17.404170479996925
Carlos SAINZ,Pays-Bas,2021,16.32707208264851,16.334564494113557
Lewis HAMILTON,Canada,2018,16.279752350378352,16.258665882324365
Guanyu ZHOU,Qatar,2023,16.251301115241635,15.838791863688266
Pascal WEHRLEIN,Belgique,2017,15.373929183323817,15.42122537804716
Nico ROSBERG,Malaisie,2016,16.82554573335739,16.797910110490296
Mick SCHUMACHER,Azerbaïdjan,2022,17.620356488422455,17.443104685259193
Pastor MALDONADO,Australie,2015,16.953391436150056,16.841507548750677
Lando NORRIS,Canada,2022,21.35679889933502,20.314118282524575
Sebastian VETTEL,Mexique,2019,17.465148698884757,17.586422186393012
Nico HULKENBERG,Grande-Bretagne,2016,15.646240027160074,15.509094527284574
George RUSSELL,Italie,2021,14.050060417745554,14.064948435387496
Max VERSTAPPEN,Bahreïn,2020,16.200665188470065,16.304007414333316
Max VERSTAPPEN,Émilie-Romagne,2024,15.226319005907516,15.412743590403164
Lewis HAMILTON,Malaisie,2015,19.81490167779181,19.77114913247679
Mick SCHUMACHER,Arabie saoudite,2021,14.490443796566245,14.63713438389641
Lando NORRIS,Hongrie,2023,17.506048847295137,17.738888010813152
Valtteri BOTTAS,Etats-Unis,2016,17.61581715944132,17.708356031907595
Romain GROSJEAN,Abou Dhabi,2019,18.566748721832987,18.169664757567265
Lewis HAMILTON,Abou Dhabi,2016,18.700056807422836,18.824205578678182
Daniel RICCIARDO,Portugal,2021,17.15860735009671,16.98376512963831
Max VERSTAPPEN,Mexique,2015,18.75232342007435,18.78703488481889
Charles LECLERC,Pays-Bas,2022,16.52101432261094,16.44974174735706
George RUSSELL,Arabie saoudite,2021,14.424036281179138,14.630220764385696
Fernando ALONSO,Pays-Bas,2022,16.81451044846208,16.098062345892966
Felipe MASSA,Belgique,2015,15.517561393489435,15.54183200779612
Kimi RAIKKONEN,Eifel,2020,17.05846930846931,16.867321205913445
Lewis HAMILTON,Italie,2021,13.749525289142067,13.744376249583295
Antonio GIOVINAZZI,Abou Dhabi,2021,15.953607271350124,16.10914947128655
Alexander ALBON,Autriche,2023,15.243862899490509,15.374209330133853
Felipe NASR,Russie,2016,16.931942544459645,16.9008502867347
Valtteri BOTTAS,Canada,2019,16.30382939692731,16.19741648758726
Alexander ALBON,Portugal,2020,16.642381259402534,16.57162744074679
Max VERSTAPPEN,Singapour,2019,19.597773279352225,19.525370653460467
Esteban OCON,Japon,2022,15.489606596804672,15.610961864768173
Antonio GIOVINAZZI,Toscane,2020,14.722592945662536,14.712938637467882
Max VERSTAPPEN,São Paulo,2023,16.413785100951497,16.371688344166948
Lewis HAMILTON,Arabie saoudite,2022,14.632815030774214,14.359925659994596
Marcus ERICSSON,Hongrie,2018,22.158183063227572,23.694669083652776
Nico ROSBERG,Autriche,2016,15.855720240852248,15.65611136749438
Max VERSTAPPEN,Russie,2021,19.455198358413135,17.759541407577416
Valtteri BOTTAS,Arabie saoudite,2021,14.192095885973437,14.368449340443991
Daniel RICCIARDO,Toscane,2020,14.59351763584366,14.776646389240614
Kevin MAGNUSSEN,Autriche,2019,14.838351088466885,14.991144634902643
Lance STROLL,70e Anniversaire,2020,14.6711933457817,14.817339546608514
Will STEVENS,Mexique,2015,19.606412639405203,19.595821788902114
Carlos SAINZ,Singapour,2023,18.417813765182185,18.427672792065465
Yuki TSUNODA,Monaco,2023,21.60083907701528,21.74046815038825
Fernando ALONSO,Japon,2015,16.2832846589933,16.288382706433325
Sebastian VETTEL,Hongrie,2015,18.885870805752113,18.795335613769293
Carlos SAINZ,Grande-Bretagne,2017,15.509760651841791,15.158332404339466
Yuki TSUNODA,Azerbaïdjan,2023,16.921705813759786,17.142236331500836
Daniel RICCIARDO,Japon,2015,16.06201683559526,16.06483010103804
Nicholas LATIFI,Abou Dhabi,2022,16.295019882597995,16.503553320664096
Oscar PIASTRI,Autriche,2023,15.193376563223717,15.425717293387656
Kevin MAGNUSSEN,Etats-Unis,2016,17.833665880645746,18.058510794247045
Esteban GUTIERREZ,Bahreïn,2016,16.98909830007391,17.207536443031913
Sergio PEREZ,Pays-Bas,2021,16.560225405024653,16.365053532240644
Lando NORRIS,Abou Dhabi,2021,15.703654610869155,15.775902635375704
Charles LECLERC,São Paulo,2023,16.48201438848921,16.274736475870426
Fernando ALONSO,Grande-Bretagne,2017,15.379392293328806,15.162102008657458
Lewis HAMILTON,Monaco,2022,21.744081510338628,21.47173035564702
Pierre GASLY,France,2019,15.38713530114315,15.390277634589783
Fernando ALONSO,Brésil,2015,17.705500116036205,16.97655849880693
Lance STROLL,Bahreïn,2018,16.90742793791574,16.73971208326068
Kimi RAIKKONEN,Canada,2017,16.56775968814492,16.545854029839017
Lewis HAMILTON,Bahreïn,2023,16.700665188470065,16.63460767372656
Kevin MAGNUSSEN,Grande-Bretagne,2019,14.710914955016127,14.764170359841252
Lance STROLL,Russie,2017,16.40971272229822,16.5107421881816
Daniel RICCIARDO,Canada,2024,16.550791102958037,16.698046419598686
Sebastian VETTEL,Abou Dhabi,2020,18.297860253739824,18.041507619602637
Mick SCHUMACHER,Hongrie,2021,18.01689112074869,17.760358883604184
Daniel RICCIARDO,France,2021,15.591537280327591,15.672014616186798
Lando NORRIS,Mexico City,2022,18.290195167286246,19.021529677371202
Nico HULKENBERG,Autriche,2024,15.142427049559984,15.109701697972927
Esteban OCON,Etats-Unis,2024,16.977507709051334,17.027566950114988
Daniel RICCIARDO,Belgique,2015,15.510993717875502,15.50814192192001
Pascal WEHRLEIN,Singapour,2016,21.79493927125506,21.84149456150275
Felipe NASR,Malaisie,2015,18.276925852426483,19.38897263209213
Sebastian VETTEL,France,2022,15.914690325882958,15.949956189754639
Mick SCHUMACHER,Pays-Bas,2022,16.774360178445644,17.00717362102243
Valtteri BOTTAS,Las Vegas,2023,15.082244799225933,15.226620913991567
Lewis HAMILTON,Japon,2019,14.997766706751417,15.019283775313822
Daniel RICCIARDO,Émilie-Romagne,2022,18.281116316968834,17.342593367098868
George RUSSELL,Canada,2022,19.160055033249257,20.052500762178692
Kevin MAGNUSSEN,Italie,2017,17.34662523735543,17.66532138010744
Guanyu ZHOU,Espagne,2022,17.413356237921406,17.110001088433858
Guanyu ZHOU,Espagne,2024,15.619068069572686,15.717477397086007
Pierre GASLY,Mexico City,2022,18.511152416356875,18.368391662996174
Lewis HAMILTON,Autriche,2016,15.729967577582215,15.817491989290385
Nico HULKENBERG,Arabie saoudite,2024,14.420958859734371,14.361585137449472
Romain GROSJEAN,Hongrie,2015,19.21501940196302,19.082491016553867
Stoffel VANDOORNE,Autriche,2017,15.224872626215841,15.245694274302638
Kevin MAGNUSSEN,Hongrie,2017,18.0540972380735,17.779625784223704
Esteban OCON,Turquie,2021,15.89396777819408,15.768453582297578
Kevin MAGNUSSEN,Brésil,2016,17.036435367834763,16.94854661212205
Lando NORRIS,Qatar,2021,15.191635687732342,15.205844742447463
Lewis HAMILTON,Belgique,2015,15.305111364934325,15.503713376553277
Oscar PIASTRI,Miami,2024,16.206099815157117,16.173724373817052
Max VERSTAPPEN,Autriche,2019,14.691755442334415,14.749836337124231
Marcus ERICSSON,Abou Dhabi,2015,19.66256390835069,19.53568777325245
Romain GROSJEAN,Etats-Unis,2018,17.095955015418102,17.218339394695125
Lando NORRIS,Pays-Bas,2023,16.694998826015496,18.026178291566364
Esteban OCON,Pays-Bas,2023,19.2791735149096,18.17138342154293
Sebastian VETTEL,Turquie,2021,15.885162982390408,15.884553670913448
Antonio GIOVINAZZI,Russie,2020,16.175444596443228,16.18245488472317
Esteban OCON,Monaco,2022,21.89002097692538,21.735593454367862
Esteban OCON,Arabie saoudite,2022,14.426303854875282,14.587371597551561
Romain GROSJEAN,Australie,2018,15.78988253126184,15.764206411359243
Carlos SAINZ,Belgique,2019,15.206596230725301,15.143591332844275
Yuki TSUNODA,Miami,2022,16.623290203327173,16.597375905996774
Jolyon PALMER,Monaco,2016,22.95055439017081,22.737736045295676
Lando NORRIS,Etats-Unis,2023,17.205332849628153,17.27414964752496
Kevin MAGNUSSEN,Japon,2023,15.57550249098093,15.556462093320366
Fernando ALONSO,Monaco,2016,22.58405753670962,25.287587423769534
Yuki TSUNODA,Las Vegas,2024,15.002257700370908,15.067411472295575
Fernando ALONSO,Belgique,2018,14.979583095374073,16.679988594634633
Nico HULKENBERG,Mexique,2019,17.86361524163569,17.743647270979874
Lewis HAMILTON,Portugal,2020,16.473672899204814,16.44848370165018
George RUSSELL,Arabie saoudite,2024,14.304502753482344,14.274430018133067
Sergey SIROTKIN,Mexique,2018,18.096189591078065,17.963022344690366
Esteban OCON,Pays-Bas,2022,16.812632073256633,16.714218859809105
Alexander ALBON,Émilie-Romagne,2024,15.522509676105114,15.571009436399818
Guanyu ZHOU,Abou Dhabi,2022,16.172694565423217,16.272207632059974
Kimi RAIKKONEN,Russie,2021,18.7390560875513,18.46371089743343
Lewis HAMILTON,Italie,2024,13.72570343518039,13.7707258343335
Lando NORRIS,Singapour,2024,18.12246963562753,18.117800082544605
Sebastian VETTEL,Autriche,2015,15.93561834182492,16.29985366122506
Sergio PEREZ,Italie,2017,16.84481270498878,16.803619353952474
Daniel RICCIARDO,Grande-Bretagne,2020,14.600067900186726,14.653561051850776
George RUSSELL,Styrie,2021,14.977072718851323,15.049408915250897
Felipe MASSA,Monaco,2017,24.1321546299071,22.060396349128986
Lewis HAMILTON,Azerbaïdjan,2021,16.899883391637516,16.917378688904094
Esteban OCON,Bahreïn,2018,16.606430155210642,16.612095679616573
Sergio PEREZ,São Paulo,2022,17.54490601067533,16.78106608117505
Carlos SAINZ,Bahreïn,2015,17.45417590539542,17.506234358839873
Fernando ALONSO,Brésil,2017,16.156184729635648,16.291945859079963
Valtteri BOTTAS,Bahreïn,2019,16.307464892830748,16.293270661931828
Max VERSTAPPEN,Monaco,2018,21.99670362601139,21.283122073433617
Nyck de VRIES,Australie,2023,14.841796134899583,14.905809299450548
Sebastian VETTEL,France,2018,15.423989080361714,15.530951371356508
Felipe NASR,Singapour,2016,21.631578947368418,21.58903674353788
Lewis HAMILTON,Bahreïn,2024,16.576127124907615,16.514372258278907
Fernando ALONSO,Abou Dhabi,2024,15.753834501041469,15.805581463021156
Sergio PEREZ,Grande-Bretagne,2018,14.925819046002376,14.935674108379565
George RUSSELL,Sakhir,2020,9.867516629711751,10.09104263672536
Sebastian VETTEL,Abou Dhabi,2021,15.963832607460711,16.02510488788697
George RUSSELL,Azerbaïdjan,2024,16.970514742628684,17.07897772527172
Sebastian VETTEL,Hongrie,2022,18.094727231225747,17.902760575827365
Max VERSTAPPEN,Grande-Bretagne,2021,14.634017993549483,14.607141823291153
Robert KUBICA,Australie,2019,16.306744979158772,16.124730896641715
Valtteri BOTTAS,Autriche,2015,16.05349698934692,16.178262475346944
Valtteri BOTTAS,Sakhir,2020,9.862712490761272,10.032819721340093
Carlos SAINZ,Singapour,2016,21.09251012145749,21.32479140762747
Jenson BUTTON,Russie,2016,16.70673734610123,16.821058368737994
Daniel RICCIARDO,Grande-Bretagne,2021,14.751145815650993,14.77717429295699
Lance STROLL,Émilie-Romagne,2020,15.378692198003668,15.320725856341468
Charles LECLERC,Hongrie,2018,17.990641406071674,21.470324216830416
Mick SCHUMACHER,Russie,2021,18.78077975376197,18.681035520205043
Fernando ALONSO,Pays-Bas,2021,16.42545198403381,16.453761351454094
Esteban OCON,Canada,2018,16.52923641366659,16.602654630489713
Sebastian VETTEL,Azerbaïdjan,2021,17.028818923871395,17.141513074750574
Nico HULKENBERG,Australie,2015,16.90185676392573,16.845709713631695
Felipe NASR,Hongrie,2015,19.401278246975576,19.419163655239704
Romain GROSJEAN,Russie,2017,16.692886456908347,16.50882592281834
Kimi RAIKKONEN,Malaisie,2016,16.891935774851163,16.95994682584888
Carlos SAINZ,Australie,2017,16.007389162561573,16.02057164371064
Stoffel VANDOORNE,Canada,2018,16.708323778949783,16.657422717451784
Daniel RICCIARDO,Espagne,2016,17.75391883186601,17.99186962545574
Valtteri BOTTAS,Pays-Bas,2022,16.896219769899037,16.830015781426624
Carlos SAINZ,Australie,2024,14.434444865479348,14.582588146305248
Guanyu ZHOU,Japon,2024,15.485827177460918,15.522745646651265
Lance STROLL,Belgique,2019,14.99814391776128,15.152328365329364
Daniel RICCIARDO,Hongrie,2020,17.270257931979,17.247754182805238
Fernando ALONSO,Chine,2016,18.12988442487617,17.85981347792893
Max VERSTAPPEN,Portugal,2020,16.527831506554907,16.486857294465874
George RUSSELL,São Paulo,2022,16.722905546530516,16.790169444162387
Jolyon PALMER,Autriche,2016,15.739925891616492,16.084170895281847
Lewis HAMILTON,Autriche,2015,15.853404353867532,16.073802351926574
Mick SCHUMACHER,Grande-Bretagne,2022,17.4347309455101,19.24575002560487
Pierre GASLY,Japon,2017,15.687510736986773,15.508588580225638
Pierre GASLY,Bahreïn,2022,17.061714708056172,16.94294317784088
Lando NORRIS,Canada,2024,16.51479018573722,16.61454867144282
Daniil KVYAT,Canada,2017,16.897500573263013,16.942138210172907
Nicholas LATIFI,Monaco,2021,21.685945459994006,21.862122666422884
Nikita MAZEPIN,Italie,2021,14.278612118073537,14.282265900374947
Antonio GIOVINAZZI,Chine,2017,17.43826820766832,17.61219334024121
Lance STROLL,Italie,2024,13.98463663041602,14.032746963737093
Max VERSTAPPEN,Italie,2024,13.813568099430345,13.7895539237992
Nico HULKENBERG,Russie,2015,16.870554035567714,16.85202158160187
Daniel RICCIARDO,Sakhir,2020,9.969881744271989,9.998105572994698
Pierre GASLY,Autriche,2021,14.846456692913387,15.111200667133891
Antonio GIOVINAZZI,Portugal,2021,17.024715237481196,17.140423863790037
Nico HULKENBERG,Monaco,2024,21.364998501648188,21.4892773399762
Romain GROSJEAN,Japon,2019,15.3480501632022,15.37959297412358
Lewis HAMILTON,Autriche,2022,16.940944881889763,15.160018521338785
Yuki TSUNODA,Espagne,2024,15.67210650633455,15.64616082487601
Nico HULKENBERG,Italie,2018,14.25479026411186,14.085644558168408
Lando NORRIS,Espagne,2020,16.552286879965642,16.612263378023965
Lewis HAMILTON,Portugal,2021,16.83967332903503,16.879062265866338
Nico HULKENBERG,Chine,2017,17.167492203265457,17.28306981279646
Alexander ALBON,Bahreïn,2023,17.095343680709533,16.867675981799934
Carlos SAINZ,Autriche,2016,15.786012042612322,16.023910498871658
Sergio PEREZ,Singapour,2015,21.53542510121457,21.54188926553121
Romain GROSJEAN,Mexique,2017,18.46491635687732,18.13539557216102
Charles LECLERC,Qatar,2021,15.327695167286244,15.151198499085394
Sebastian VETTEL,Monaco,2019,21.26071321546299,21.234982097906155
Max VERSTAPPEN,Arabie saoudite,2021,14.1971169420149,14.341456367884017
Kevin MAGNUSSEN,Russie,2017,16.418775649794803,16.512741345655904
Valtteri BOTTAS,Europe,2016,17.53223388305847,17.496222900245968
Kevin MAGNUSSEN,Styrie,2020,18.57596109309866,18.860834285472915
Esteban OCON,France,2018,15.709776488653814,15.773378652616225
Nico HULKENBERG,Mexico City,2023,18.24442379182156,18.277700160843587
Esteban OCON,Grande-Bretagne,2020,14.634017993549483,14.748589030383952
Logan SARGEANT,Canada,2023,19.109607888099063,20.296414009096384
Lando NORRIS,Espagne,2024,15.328108224178655,15.4746942485114
George RUSSELL,Pays-Bas,2022,16.705095092744777,16.548173959068002
Felipe NASR,Etats-Unis,2015,22.346091057500455,21.935752254675236
Pierre GASLY,Mexique,2018,17.935408921933085,17.866511510104683
Sergey SIROTKIN,Azerbaïdjan,2018,17.30568049308679,17.181468497377377
Fernando ALONSO,Grande-Bretagne,2023,14.880156170429467,14.98133277752819
Jolyon PALMER,Chine,2017,17.479178132452763,17.353133380305266
Romain GROSJEAN,Espagne,2020,16.7680910457376,16.7093143184328
Daniil KVYAT,Mexique,2016,18.925185873605948,18.657769168522375
Nicholas LATIFI,Miami,2022,16.880776340110906,16.687954195590155
Roberto MERHI,Russie,2015,17.750341997264023,17.588139273468634
Kimi RAIKKONEN,Abou Dhabi,2021,16.05358833554251,16.097033854336146
Sergey SIROTKIN,Chine,2018,17.255916345624655,17.406534077987356
Max VERSTAPPEN,Las Vegas,2023,15.014352523786487,15.044215751809757
Nico HULKENBERG,Singapour,2017,20.447975708502025,20.3137450745197
Pascal WEHRLEIN,Monaco,2016,23.210068924183396,22.97622370846305
Sebastian VETTEL,Espagne,2018,16.385011810178227,16.576098583781903
Liam LAWSON,Abou Dhabi,2024,15.806097330051129,15.74225853173813
Lance STROLL,Autriche,2017,15.425660027790647,15.235244721743076
Romain GROSJEAN,Chine,2019,17.057787561915248,17.144926531240486
Esteban OCON,Autriche,2017,15.209356183418253,15.17325118124576
Esteban OCON,Arabie saoudite,2021,14.358114674441202,14.42704348604979
Sergio PEREZ,Japon,2018,16.70314378972685,15.487560667863724
Daniel RICCIARDO,Etats-Unis,2019,16.957736259749684,16.979896926893648
Sebastian VETTEL,Azerbaïdjan,2017,16.965017491254375,16.959955091943872
Daniel RICCIARDO,Canada,2015,17.453336390736073,17.317516553007525
Kimi RAIKKONEN,Canada,2019,16.5627149736299,16.592191459895503
Carlos SAINZ,Malaisie,2016,17.206206025617895,17.158343554745233
Kevin MAGNUSSEN,Italie,2019,13.915933022613498,13.944830239600902
Sergio PEREZ,Russie,2017,16.30249658002736,16.368504788606227
Guanyu ZHOU,Australie,2024,14.81394467601364,14.734819199029323
Kevin MAGNUSSEN,Monaco,2022,21.852262511237637,21.969456152826673
Sebastian VETTEL,Belgique,2018,16.97672758423758,16.63601147233589
Romain GROSJEAN,Émilie-Romagne,2020,15.465064167854962,15.368464797927588
Valtteri BOTTAS,Mexico City,2024,18.080157992565056,17.956865417286885
Lewis HAMILTON,Grande-Bretagne,2019,14.445594975386182,14.505789235293504
Fernando ALONSO,Azerbaïdjan,2023,16.867066466766616,17.074626091608362
Kevin MAGNUSSEN,Malaisie,2017,16.856215046003967,16.76889777198301
Alexander ALBON,São Paulo,2022,16.62357855650963,16.905155314285842
Kevin MAGNUSSEN,Australie,2017,16.4545282303903,16.120234562454304
Fernando ALONSO,Bahreïn,2023,16.69179600886918,16.787313175809985
Esteban OCON,Russie,2021,18.10277017783858,17.90271943706333
