Pilote,GP,Saison,Réalité,Prédiction
Felipe NASR,Canada,2015,17.56936482458152,17.530784329423764
Fernando ALONSO,Malaisie,2016,17.5275121775212,17.060424930746105
Lewis HAMILTON,Canada,2015,17.05870213253841,17.150253699384763
Brendon HARTLEY,Autriche,2018,15.138026864289024,15.100984142129215
Robert KUBICA,Pays-Bas,2021,16.741253815449635,16.798088716815595
Lando NORRIS,Japon,2023,15.37416251503178,15.545667992566072
Charles LECLERC,Pays-Bas,2023,17.061516787978395,17.278039593606564
Lewis HAMILTON,Bahreïn,2019,16.29526977087953,16.307586007784003
Alexander ALBON,Russie,2019,16.962551299589602,15.966318184169108
Brendon HARTLEY,Russie,2018,16.251196990424077,16.25689758452386
Mick SCHUMACHER,Australie,2022,15.245358090185675,15.18798322624731
Max VERSTAPPEN,Italie,2018,13.915933022613498,13.951504228416134
Valtteri BOTTAS,Mexique,2019,17.504182156133826,17.476566590056166
Max VERSTAPPEN,Australie,2016,16.186813186813186,16.36080102801527
Yuki TSUNODA,Japon,2022,15.60006871671534,15.688286149560565
Carlos SAINZ,Italie,2015,14.7795615397894,15.069790145086165
Fernando ALONSO,Bahreïn,2024,16.54508499630451,16.618882758325675
Carlos SAINZ,Belgique,2022,14.891062250142776,14.985597721664089
Esteban OCON,Singapour,2022,23.549999999999997,22.755915314077434
Charles LECLERC,Hongrie,2021,17.46085368637297,17.456121140790067
Lewis HAMILTON,Japon,2017,15.00068716715341,15.0904006442166
Nico HULKENBERG,Australie,2019,15.642667677150435,15.658147832654622
Sergio PEREZ,Singapour,2018,19.83502024291498,19.973028281525878
Carlos SAINZ,Bahreïn,2018,16.627124907612714,16.61829829545987
Guanyu ZHOU,Chine,2024,17.52063841496973,17.39838558953769
Kevin MAGNUSSEN,Hongrie,2019,17.594384843643002,17.52496054607347
Guanyu ZHOU,Etats-Unis,2022,17.589334300743698,17.574904887197526
Max VERSTAPPEN,Brésil,2019,15.666744024135529,15.78059418845385
Carlos SAINZ,Russie,2021,17.52906976744186,18.133492958608457
Fernando ALONSO,Grande-Bretagne,2022,17.33423866915634,17.451144887617602
Daniil KVYAT,Brésil,2016,16.87769784172662,16.776853589042965
Carlos SAINZ,Belgique,2020,14.625642490005712,14.68286321423719
Yuki TSUNODA,Bahreïn,2023,17.09349593495935,16.850279392421033
Valtteri BOTTAS,Autriche,2023,15.21074571560908,19.28612371388849
Sergio PEREZ,Autriche,2016,15.788327929597038,15.7437074026254
Daniil KVYAT,Singapour,2015,21.203441295546558,21.359193435062263
Daniel RICCIARDO,Hongrie,2019,17.63455832001826,17.355831322069143
Lance STROLL,Monaco,2023,21.7629607431825,21.664163365091422
Nicholas LATIFI,Espagne,2021,17.010736525660295,16.986874307309474
Lando NORRIS,Grande-Bretagne,2023,14.761670344593448,14.998184809315214
Carlos SAINZ,Espagne,2020,16.543697659437406,16.68366291350677
Sebastian VETTEL,Australie,2022,15.374952633573322,15.144260279711553
Max VERSTAPPEN,Bahreïn,2019,16.39911308203991,16.458653831729425
Lewis HAMILTON,Brésil,2017,16.450452541192853,15.888999793937302
Nico HULKENBERG,Grande-Bretagne,2017,15.083347479205568,15.150561059560447
Felipe MASSA,Abou Dhabi,2015,19.268888468093166,19.261512791214894
Pierre GASLY,Azerbaïdjan,2018,17.40729635182409,17.09660969193923
Daniel RICCIARDO,Malaisie,2015,20.122857658307776,19.566365735506533
Carlos SAINZ,Eifel,2020,16.843240093240095,16.808598782197652
Nico HULKENBERG,Eifel,2020,17.098096348096348,16.76127468829019
Lewis HAMILTON,Canada,2023,20.09332721852786,19.753922325468302
George RUSSELL,Espagne,2024,15.396821988404552,15.649655767400468
Daniel RICCIARDO,Las Vegas,2023,15.208514755684567,15.274996974429769
Fernando ALONSO,Monaco,2023,21.41114773748876,21.662577255051048
Fernando ALONSO,Chine,2015,18.213171895065127,17.846705469546688
Lance STROLL,France,2019,15.650230336120117,16.07601388375252
Yuki TSUNODA,Italie,2024,13.972898325565335,13.988326940149111
Max VERSTAPPEN,Pays-Bas,2021,16.173984503404554,15.92767204347021
Kevin MAGNUSSEN,Singapour,2017,21.00323886639676,20.788025558164065
Sebastian VETTEL,Australie,2016,16.043008715422506,16.15229669440612
Liam LAWSON,Mexico City,2024,17.927973977695167,17.870349975249685
Kevin MAGNUSSEN,Japon,2024,15.483765676000688,15.397562751702955
Sebastian VETTEL,70e Anniversaire,2020,14.781531149210661,14.632410789189898
Alexander ALBON,Grande-Bretagne,2020,14.691054150398914,14.64580156165831
Yuki TSUNODA,Azerbaïdjan,2021,17.026653339996667,17.136293091295396
Fernando ALONSO,Azerbaïdjan,2017,17.380309845077463,17.18306938886353
Carlos SAINZ,Mexico City,2022,18.204228624535315,18.10190403381421
Lance STROLL,Grande-Bretagne,2017,17.41181463249024,15.204743297189813
Nicholas LATIFI,Turquie,2020,26.528849756463092,22.37169752787325
Fernando ALONSO,Émilie-Romagne,2022,18.171114279894073,16.96593709272438
Lewis HAMILTON,Hongrie,2021,17.21501940196302,17.289435547975856
Esteban OCON,Etats-Unis,2016,17.92236531833847,18.168130105270894
Max VERSTAPPEN,Malaisie,2015,20.202237055745986,19.267517816941968
Valtteri BOTTAS,Japon,2024,15.391341693867034,15.483822805681607
Fernando ALONSO,Monaco,2021,21.63769853161522,21.40224184627276
Felipe NASR,Grande-Bretagne,2016,15.879137667628585,16.023814302532003
George RUSSELL,Espagne,2021,16.99677904230191,16.773199700719662
Max VERSTAPPEN,Etats-Unis,2021,16.852893161617992,17.12496715658205
Felipe NASR,Espagne,2015,18.897358814687568,18.685393213383865
Rio HARYANTO,Europe,2016,17.602032317174743,17.714385932040653
Romain GROSJEAN,Allemagne,2018,15.860078705728029,16.12409886843306
Nico ROSBERG,Singapour,2015,21.33906882591093,21.06764157460645
Daniel RICCIARDO,Canada,2022,19.20408163265306,20.29399050669911
Liam LAWSON,Pays-Bas,2023,19.586757454801596,18.076889972128846
Max VERSTAPPEN,Belgique,2018,17.528412335808113,16.48549746926648
Valtteri BOTTAS,Australie,2018,15.836870026525197,15.40025421011488
Sergio PEREZ,Mexico City,2021,17.73745353159851,17.987426795805295
Jenson BUTTON,Monaco,2015,23.10248726400959,23.491080672028378
Lance STROLL,Monaco,2019,21.829787234042552,21.44217602539903
Carlos SAINZ,Belgique,2015,15.67261564820103,15.642556536027367
Max VERSTAPPEN,Singapour,2024,18.163562753036437,18.26691251376511
Sergio PEREZ,Mexico City,2023,17.98861524163569,18.10055413378799
Lewis HAMILTON,Grande-Bretagne,2020,14.31047360380241,14.466618955506396
Lando NORRIS,Toscane,2020,14.612011439466158,14.722393449269134
Lewis HAMILTON,Autriche,2019,14.650764242704957,14.766865387213425
Rio HARYANTO,Russie,2016,17.008036935704514,17.022882821408235
Kimi RAIKKONEN,Allemagne,2019,15.858766943594228,16.077660943261098
Yuki TSUNODA,Grande-Bretagne,2023,15.281785774910881,15.113600044553689
Kimi RAIKKONEN,Espagne,2017,17.0579772385656,17.066475176156892
Daniel RICCIARDO,Autriche,2024,15.120194534506718,15.168129955707336
Romain GROSJEAN,Abou Dhabi,2017,18.844158303351637,18.750588727090822
Valtteri BOTTAS,Abou Dhabi,2023,16.05529255822761,16.069509358105282
Max VERSTAPPEN,Monaco,2019,21.169014084507044,21.105638058288722
Sergio PEREZ,Belgique,2016,15.335094231867505,15.38526341158978
Marcus ERICSSON,Malaisie,2016,17.285946238499008,17.442305912413918
Sebastian VETTEL,Russie,2017,15.936046511627907,16.166211742090216
Daniel RICCIARDO,Espagne,2015,18.632166630878245,18.419578558475934
Max VERSTAPPEN,Belgique,2022,14.800828098229584,14.88440740217395
George RUSSELL,Las Vegas,2024,14.886631188517981,15.914869270398857
Max VERSTAPPEN,Italie,2022,13.862592784394959,14.078225156578714
Carlos SAINZ,Monaco,2019,21.401558285885525,21.448942931433894
Nicholas LATIFI,Abou Dhabi,2021,15.970081423972733,16.26659467664268
Lance STROLL,Monaco,2017,22.443212466287083,22.239525141790907
Sergio PEREZ,France,2018,15.774441221634536,15.778655117819431
Daniel RICCIARDO,Qatar,2021,15.352602230483273,15.254580827260975
Esteban OCON,Singapour,2017,20.801619433198375,20.768078799523916
Sebastian VETTEL,Australie,2018,15.505494505494504,15.43490831201002
Charles LECLERC,Mexique,2019,17.431226765799256,17.615497564493534
Antonio GIOVINAZZI,Monaco,2021,21.510038957147135,21.545482241992836
Valtteri BOTTAS,Canada,2016,16.892914469158452,17.153962318334322
Carlos SAINZ,Russie,2017,16.40697674418605,16.43486154639126
Lewis HAMILTON,Australie,2023,14.60856384994316,14.597861423539062
Max VERSTAPPEN,Styrie,2020,18.64034275127374,18.558507826360497
Sergio PEREZ,Singapour,2017,20.69757085020243,20.615646883525923
Kevin MAGNUSSEN,Azerbaïdjan,2018,17.45110777944361,17.28594098334625
Sergio PEREZ,Émilie-Romagne,2021,15.165206763088205,15.480712064108948
Lance STROLL,Etats-Unis,2023,17.520224922909488,17.3528261064718
Sergio PEREZ,Autriche,2020,14.791106993978696,15.265073791015213
Nico HULKENBERG,Autriche,2019,14.941176470588237,14.980134886398822
Yuki TSUNODA,Pays-Bas,2024,16.66001408781404,16.902388468189542
Fernando ALONSO,Singapour,2022,22.260323886639675,22.816002974659174
Stoffel VANDOORNE,Bahreïn,2017,17.05709534368071,16.82338655100052
Daniil KVYAT,Italie,2017,16.95926117728293,16.998462959970144
Pierre GASLY,São Paulo,2021,15.961243908099327,16.20338098966848
Pascal WEHRLEIN,Etats-Unis,2016,17.875566842009796,18.197306821534745
Jolyon PALMER,Chine,2016,18.258668134287287,18.154370842636364
Sergio PEREZ,France,2019,15.481658420064836,15.52762103759505
George RUSSELL,Mexique,2019,18.31389405204461,18.094452895900055
Nico HULKENBERG,Pays-Bas,2024,16.721061281991076,16.908687163793687
Franco COLAPINTO,Abou Dhabi,2024,15.889414883544786,15.918453374519427
Charles LECLERC,Canada,2023,18.485439119468012,19.878238706052716
Fernando ALONSO,Hongrie,2015,19.314996576124173,19.05357339866349
Mick SCHUMACHER,Japon,2022,15.708469335165779,15.729871884212255
Guanyu ZHOU,Hongrie,2024,17.812599863044966,17.458337232700924
Nicholas LATIFI,Bahreïn,2021,16.987435328898744,17.014503147530828
Jolyon PALMER,Russie,2016,16.930403556771545,16.864928354028073
Nicholas LATIFI,Italie,2021,14.142068013119282,14.10447596983197
Will STEVENS,Grande-Bretagne,2015,16.52758445085724,16.93807904452983
Kevin MAGNUSSEN,Autriche,2022,15.256831866604912,15.395077248935136
Valtteri BOTTAS,Australie,2016,16.28666161424782,16.359423709870185
Valtteri BOTTAS,Chine,2024,17.366538249862412,17.43664587117451
Carlos SAINZ,Abou Dhabi,2015,19.448589282332893,19.58564898041735
Felipe MASSA,Singapour,2015,21.47307692307692,21.449589418547447
Sebastian VETTEL,Émilie-Romagne,2020,15.356488083112652,15.363702032247234
Felipe MASSA,Russie,2015,17.081908344733243,16.864432611707233
Nico HULKENBERG,Brésil,2015,16.770712462288234,16.93195979031918
Guanyu ZHOU,Las Vegas,2024,15.088856636026449,15.193473499392535
Jenson BUTTON,Etats-Unis,2015,21.9831307817885,21.17501185610301
Pierre GASLY,Toscane,2020,14.704480457578645,14.664918285942136
Valtteri BOTTAS,Miami,2024,16.351756007393714,16.331025544243726
Marcus ERICSSON,Italie,2018,14.163300535128604,14.219431190390136
Daniil KVYAT,Hongrie,2017,17.92695731568135,17.81504159002303
Charles LECLERC,Grande-Bretagne,2022,17.195382787302666,17.42162694723789
Kimi RAIKKONEN,Grande-Bretagne,2021,14.948565608555423,14.924500623733616
Daniel RICCIARDO,Allemagne,2016,16.337122868386533,16.39962599930164
Lewis HAMILTON,Azerbaïdjan,2022,17.14542728635682,17.13528403238188
Sergey SIROTKIN,Espagne,2018,17.112948249946317,16.880095224017367
Lewis HAMILTON,Autriche,2020,14.578740157480317,14.6900956366741
Charles LECLERC,Bahreïn,2020,16.47542498152254,16.34081961630951
Pierre GASLY,Japon,2023,15.548702971997939,15.569698819906627
Lance STROLL,Espagne,2020,16.44599527592871,16.70905545850211
Romain GROSJEAN,Singapour,2015,21.541093117408906,21.616443078667128
Kevin MAGNUSSEN,Azerbaïdjan,2022,17.431784107946026,17.245980988509952
Mick SCHUMACHER,Etats-Unis,2021,17.50389987302739,17.479207815871355
Fernando ALONSO,Chine,2017,17.31278664465236,17.322144311824967
Sebastian VETTEL,Chine,2017,16.852687580260504,16.90194115567498
Sergio PEREZ,Europe,2016,17.243878060969514,17.477088223135485
Kevin MAGNUSSEN,Grande-Bretagne,2022,17.341537939229333,17.34678252808568
Guanyu ZHOU,Miami,2022,16.824399260628464,16.529773663190728
Daniel RICCIARDO,Australie,2018,15.56498673740053,15.700688657913807
Nico HULKENBERG,Azerbaïdjan,2017,17.369148758953855,17.177744500794894
Kevin MAGNUSSEN,Abou Dhabi,2020,18.53114940352206,18.411018060429676
Charles LECLERC,Espagne,2019,16.445780545415502,16.505324188512734
Lance STROLL,Japon,2018,15.583920288610205,15.719913966070441
Pierre GASLY,Portugal,2021,17.080378250591014,17.000809306889167
Guanyu ZHOU,São Paulo,2023,16.540960779763285,16.794885914550843
Nico HULKENBERG,Espagne,2016,18.080953403478635,18.14249995631111
Lance STROLL,Arabie saoudite,2023,14.406381600259149,14.603039798109918
Robert KUBICA,Japon,2019,15.527228998453877,15.613364101883901
Alexander ALBON,Japon,2019,15.09208039855695,15.192328080524385
Alexander ALBON,Azerbaïdjan,2022,17.444444444444443,17.23313947052284
Max VERSTAPPEN,Autriche,2015,16.121352477999075,16.128348990616
Daniil KVYAT,Bahreïn,2017,16.800258684405026,16.83996005166774
Esteban OCON,Azerbaïdjan,2022,17.25553889721806,17.223786520064657
Daniel RICCIARDO,Espagne,2017,17.21601889628516,17.186095745067608
Felipe MASSA,Mexique,2015,18.719098513011154,18.87633810830747
Sergio PEREZ,Styrie,2020,18.899258916164893,18.365701114221164
George RUSSELL,Russie,2019,16.305745554035568,16.22305054379411
Lewis HAMILTON,Etats-Unis,2019,16.746054779611825,16.69039464509264
Max VERSTAPPEN,Turquie,2021,15.585612588984638,15.054086760468806
Sergio PEREZ,Las Vegas,2023,15.135462022254474,16.243441890573408
Lance STROLL,Japon,2023,15.66414705377083,15.606593440177475
Max VERSTAPPEN,Azerbaïdjan,2017,16.97134765950358,16.996429141683674
Mick SCHUMACHER,São Paulo,2021,16.321420283128337,16.64839431027205
